date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:37	128480/128480	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Feb%202022%2003:40:08%20GMT	https://templates.iqonic.design/foodsto/html/theme/dist/index.html	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/index.html	(from )
18:39:37	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2017:39:37%20GMT	https://templates.iqonic.design/robots.txt		(from )
18:39:38	10806/10806	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%222a36-5cd07b4ba6658%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/favicon.ico	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/favicon.ico	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:38	18431/18431	---M-Z	200	added ('OK')	text/css	etag:%2247ff-5cd35512288d4-gzip%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/libs.min.css	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/css/libs.min.css	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:39	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5cd07b4bc5a5a-gzip%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:39	315571/315571	---M-Z	200	added ('OK')	text/css	etag:%224d0b3-5cd3aff2ae353-gzip%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.min.css?v=1.0.0	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/css/foodsto.mine209.css	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2009%20Jun%202023%2017:39:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/DELL/source/foodsto/www.googletagmanager.com/gtm.55445.delayed	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:40	4289/4289	---M--	200	added ('OK')	image/png	etag:%2210c1-5cd1c967a95fd%22	https://templates.iqonic.design/foodsto/html/theme/dist/assets/images/logo.png	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/assets/images/logo.png	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:41	119620/119620	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2018:55:56%20GMT	https://templates.iqonic.design/foodsto/html/theme/dist/home-2.html	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/home-2.html	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:41	88291/88291	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2018:55:56%20GMT	https://templates.iqonic.design/foodsto/html/theme/dist/home-3.html	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/home-3.html	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
18:39:41	59845/59845	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Sep%202021%2018:55:56%20GMT	https://templates.iqonic.design/foodsto/html/theme/dist/about-us.html	C:/Users/DELL/source/foodsto/templates.iqonic.design/foodsto/html/theme/dist/about-us.html	(from https://templates.iqonic.design/foodsto/html/theme/dist/index.html)
